matchday,Rest_Days,home_0_away_1,Elo_Opponent,Elo_Liverpool,Elo_Diff,points_won,Shots,Shots On Target,Passes,Possession
34,5,0,1866,1995.51538086,129.51538086000005,3,15,7,589,61
35,4,1,1590,2006.70556641,416.70556641000013,3,17,6,584,71
36,5,0,1501,2008.90795898,507.90795898000016,3,21,7,668,68
37,3,1,1690,1993.42053223,303.42053222999994,3,11,4,601,64
38,5,0,1721,2035.16088867,314.16088867000013,3,13,5,540,59
1,9,0,1631,2043.73754883,412.73754882999987,3,15,7,408,55
2,8,1,1663,2045.0657959000002,382.06579589999996,3,15,6,433,61
3,7,0,1878,2049.84277344,171.8427734400002,3,25,5,498,51
4,7,1,1697,2054.93359375,357.93359375,3,15,7,438,61
5,14,0,1713,2058.50927734,345.50927734000015,3,21,9,769,70
6,5,1,1855,2034.8470459000002,179.8470459,3,6,3,322,45
7,3,1,1639,2039.78540039,400.78540039,3,16,4,607,65
8,3,0,1768,2041.78515625,273.78515625,3,18,8,414,51
9,15,1,1810,2043.49182129,233.49182129,1,10,4,554,62
10,4,0,1843,2050.35034179999,207.35034179999002,3,21,13,538,63
11,6,1,1644,2052.68359375,408.68359375,3,25,6,575,65
12,5,0,2026,2053.68701172,27.6870117200001,3,12,5,346,47
13,13,1,1741,2061.64257812,320.64257812000005,3,12,4,434,54
14,3,0,1633,2043.8458252,410.8458252,3,15,7,383,46
15,4,0,1702,2044.61401367,342.61401367000013,3,11,5,419,57
16,3,1,1679,2046.59387207,367.59387207000015,3,21,9,769,70
17,4,0,1630,2059.01733398,429.0173339799999,3,16,6,540,62
18,5,1,1827,2059.98071289,232.98071289000015,3,15,6,523,58
19,3,0,1772,2067.63696289,295.6369628900002,3,10,3,546,59
20,4,0,1685,2069.15380859,384.15380859000015,3,19,7,891,71
21,6,1,1820,2070.47412109,250.47412109000012,3,13,7,685,62
22,8,0,1819,2073.97216797,254.97216797000007,3,16,5,410,54
23,4,1,1765,2076.77856445,311.77856445,3,13,6,513,51
24,3,1,1685,2079.34912109,394.34912109000015,3,13,5,728,64
25,3,0,1701,2081.60449219,380.60449219000014,3,16,9,415,57
26,11,1,1603,2083.49731445,480.49731445,3,17,6,560,60
27,6,0,1678,2077.74145508,399.74145507999987,3,25,7,552,65
28,5,1,1662,2075.89550781,413.89550780999986,0,7,1,596,64
29,4,0,1641,2048.10473633,407.10473632999987,3,14,6,637,69
30,102,1,1733,2020.29455566,287.29455566,1,10,3,639,70
31,3,0,1732,2014.28186035,282.28186035,3,21,7,929,73
32,8,1,1970,2017.88659668,47.886596679999904,0,11,3,469,49
33,3,0,1595,2001.73840332,406.73840332000015,3,6,4,585,65
34,3,1,1652,2002.9407959000002,350.94079589999996,3,19,8,431,53
35,3,0,1725,2005.79724121,280.79724121000004,1,23,9,600,66
36,4,1,1800,1998.45800781,198.45800781000003,0,24,8,558,64
37,7,0,1820,1986.60888672,166.6088867200001,3,10,7,484,49
38,4,1,1686,1991.13781738,305.1378173799999,3,14,6,732,68
